question_id,question_text,domain,ground_truth,question_length,question_type,question_nature,question_style,response_text,collection_date,response_length,citation_present,hallucination_present,factscore,confidence_markers_count,uncertainty_markers_count
52,What is the name given to a short handled riding stick,General Knowledge,Quirt,54,closed-ended,general,qualitative,Crop,2025-05-25,4,False,True,somewhat inaccurate,0,0
53,In 2015 artist Oscar Santillan controversially removed and exhibited the top inch of?,General Knowledge,Scafell Pike,85,closed-ended,topical,qualitative,The top inch of the Ecuadorean volcano Chimborazo.,2025-05-25,50,False,True,somewhat inaccurate,0,0
54,From what illness did Mary II die in 1694?,General Knowledge,Smallpox,42,closed-ended,general,qualitative,Mary II died from smallpox in 1694.,2025-05-25,35,False,False,completely right,0,0
55,What was the (2011 reported) average annual salary of a UK ('county') Council Chief Executive?,General Knowledge,£186k,94,closed-ended,topical,quantitative,"The (2011 reported) average annual salary of a UK Council Chief Executive was £142,500.",2025-05-25,87,False,True,somewhat inaccurate,0,0
56,"What is the only county in the USA to border 5 counties from 5 different states : Baca County, Colorado; Morton County, Kansas; Texas County, Oklahoma; Dallam County, Texas; Union County, New Mexico ?",General Knowledge,Cimarron County,200,closed-ended,general,qualitative,"Cimarron County, Oklahoma is the only county in the USA to border 5 counties from 5 different states.",2025-05-25,101,False,False,completely right,0,0
57,"""In 1858 Rowland Macy established a new store named """"R. H. Macy & Company"""", where it stayed on the same site for nearly forty years, in which city?""",General Knowledge,New York,150,closed-ended,general,qualitative,New York City,2025-05-25,13,False,False,somewhat correct,0,0
58,What type of exhibit can be seen in the military museum at Bovington in Dorset?,General Knowledge,Tanks,79,closed-ended,general,qualitative,Tanks and other military vehicles can be seen in the military museum at Bovington in Dorset.,2025-05-25,92,False,False,somewhat correct,0,0
59,Which is the largest city in the USA?,General Knowledge,New York,37,closed-ended,general,qualitative,New York City is the largest city in the USA.,2025-05-25,45,False,False,completely right,0,0
60,"Elected in 2008, who is the current Prime Minister of New Zealand?",General Knowledge,JOHN KEY,66,closed-ended,topical,qualitative,Jacinda Ardern,2025-05-25,14,False,True,totally wrong,0,0
61,"At the 1976 Olympics, which Cuban athlete became the first person to win both the 400m and the 800m?",General Knowledge,ALBERTO JUANTORENA,100,closed-ended,general,qualitative,Alberto Juantorena,2025-05-25,18,False,False,completely right,0,0
62,Who won the 1977 European Cup and where was it held?,General Knowledge,Liverpool in Rome,52,closed-ended,general,qualitative,"Liverpool won the 1977 European Cup, and the final was held at the Stadio Olimpico in Rome, Italy.",2025-05-25,98,False,False,completely right,0,0
63,What Roman wall lies near the boundary of Scotland and England?,General Knowledge,Hadrian's Wall,63,closed-ended,general,qualitative,Hadrian's Wall,2025-05-25,14,False,False,completely right,0,0
64,In which film series would you expect to film Katniss Everdeen and Peeta Malark?,General Knowledge,The Hunger Games,80,closed-ended,general,qualitative,The Hunger Games,2025-05-25,16,False,False,completely right,0,0
65,"In Ian Fleming’s novel ‘Moonraker’, Sir Hugo Drax is suspected of cheating at which game in the Mayfair club ‘Blades’?",General Knowledge,Bridge,118,closed-ended,general,qualitative,Bridge,2025-05-25,6,False,False,completely right,0,0
66,The songs 'If I Loved You' and 'When The Children Are Asleep' are from which 1956 stage musical?,General Knowledge,'CAROUSEL',96,closed-ended,general,qualitative,The songs 'If I Loved You' and 'When The Children Are Asleep' are from the 1956 stage musical 'Carousel'.,2025-05-25,105,False,False,completely right,0,0
67,A gymnophobia sufferer fears what?,General Knowledge,Nudity,34,closed-ended,general,qualitative,A gymnophobia sufferer fears nudity or seeing naked bodies.,2025-05-25,59,False,False,completely right,0,0
68,"Who, in May 2006 when aged 17 years and 75 days, became the youngest footballer to play for England?",General Knowledge,Theo Walcott,100,closed-ended,general,qualitative,The youngest footballer to play for England in May 2006 when aged 17 years and 75 days was Theo Walcott.,2025-05-25,104,False,False,completely right,0,0
69,What is the more common term for the affliction called epistaxis the occurrence of which suggests sexual arousal in Japanese manga and anime?,General Knowledge,Nosebleed,141,closed-ended,general,qualitative,Nosebleed,2025-05-25,9,False,False,completely right,0,0
70,In which film does crooked computer programmer Dennis Nedry cause havoc?,General Knowledge,Jurassic Park,72,closed-ended,general,qualitative,Jurassic Park,2025-05-25,13,False,False,completely right,0,0
71,Near which village in North Wales were the rowing events held at the 1958 British Empire and Commonwealth Games?,General Knowledge,LLANBERIS,112,closed-ended,general,qualitative,The rowing events at the 1958 British Empire and Commonwealth Games were held near the village of Llanberis in North Wales.,2025-05-25,123,False,False,completely right,0,0
72,"""Which Prime Minister said """"the War Office kept three sets of figures, one to mislead the public, one to mislead the Cabinet and one to mislead itself""""?""",General Knowledge,Herbert Asquith,155,closed-ended,general,qualitative,David Lloyd George,2025-05-25,18,False,True,somewhat inaccurate,0,0
73,"""On 2 November 2010, the oil painting """"Nude Sitting on a Divan"""" sold for $68.9 million, a record for an artwork by which artist?""",General Knowledge,Amadeo Modigliani,131,closed-ended,topical,quantitative,Amedeo Modigliani,2025-05-25,17,False,False,somewhat correct,0,0
74,"""How many people made up the English pop rock group """"Tears For Fears""""?""",General Knowledge,2,73,closed-ended,general,quantitative,Tears For Fears was made up of two people: Roland Orzabal and Curt Smith.,2025-05-25,73,False,False,somewhat correct,0,0
75,"""""""Getting to Know You"""" is a song from which film?""",General Knowledge,THE KING AND I,52,closed-ended,general,qualitative,The song 'Getting to Know You' is from the film 'The King and I'.,2025-05-25,65,False,False,completely right,0,0
76,A doping scandal in 2012 involving Lance Armstrong relates to which sport?,General Knowledge,Cycling,74,closed-ended,topical,qualitative,Cycling,2025-05-25,7,False,False,completely right,0,0
77,What is the approximate circumference of the earth?,General Knowledge,"24,900 miles",51,closed-ended,general,quantitative,"The approximate circumference of the Earth is about 40,075 kilometers (24,901 miles).",2025-05-25,85,False,False,somewhat correct,0,0
78,In which year of the nineteenth century was the most notable eruption of Krakatoa,General Knowledge,1883,81,closed-ended,general,qualitative,The most notable eruption of Krakatoa occurred in the year 1883.,2025-05-25,64,False,False,completely right,0,0
79,In which US state is the Green Mountains Range?,General Knowledge,Vermont,47,closed-ended,general,qualitative,Vermont,2025-05-25,7,False,False,completely right,0,0
80,"In World War I, the British soldiers were nicknamed 'Tommies', what name was given to French soldiers?",General Knowledge,'POILU',102,closed-ended,general,qualitative,Poilus,2025-05-25,6,False,False,completely right,0,0
81,What causes light to refract?,Science,slowing down,29,closed-ended,general,qualitative,"Light refracts when it passes from one medium to another with a different optical density, causing it to change direction. This change in direction is due to the change in speed of light as it travels through different mediums.",2025-05-25,227,False,False,somewhat correct,0,0
82,"The number, size, shape, and banding pattern of chromosomes make them easily identifiable in a karyogram and allow for the assessment of many chromosomal",Science,abnormalities,153,closed-ended,general,qualitative,"The number, size, shape, and banding pattern of chromosomes indeed make them easily identifiable in a karyogram and allow for the assessment of many chromosomal abnormalities.",2025-05-25,175,False,False,completely right,0,0
83,What is an example of a metaloid element?,Science,silicon,41,closed-ended,general,qualitative,An example of a metaloid element is silicon.,2025-05-25,44,False,False,completely right,0,0
84,Volcano chains form as an oceanic plate moves over what?,Science,hot spot,56,closed-ended,general,qualitative,A hotspot in the mantle beneath the oceanic plate.,2025-05-25,50,False,False,somewhat correct,0,0
85,The voltage and current are exactly in phase in a what?,Science,resistor,55,closed-ended,general,qualitative,The voltage and current are exactly in phase in a resistive circuit.,2025-05-25,68,False,False,completely right,0,0
86,What is the name of the body system that fights to protect the body from specific pathogens?,Science,immune system,92,closed-ended,general,qualitative,The immune system is the body system that fights to protect the body from specific pathogens.,2025-05-25,93,False,False,completely right,0,0
87,What is the process that ventilates lungs called?,Science,breathing,49,closed-ended,general,qualitative,The process that ventilates lungs is called respiration.,2025-05-25,56,False,False,somewhat inaccurate,0,0
88,"What has two chains of nucleotides, one more than rna?",Science,dna,54,closed-ended,general,qualitative,"DNA has two chains of nucleotides, one more than RNA.",2025-05-25,53,False,False,completely right,0,0
89,What is needed by all known forms of life?,Science,water,42,closed-ended,general,qualitative,Water is needed by all known forms of life.,2025-05-25,43,False,False,completely right,0,0
90,Interactions between plants and other organisms result in cycling of chemical nutrients within what?,Science,ecosystem,100,closed-ended,general,qualitative,Interactions between plants and other organisms result in cycling of chemical nutrients within ecosystems.,2025-05-25,106,False,False,completely right,0,0
91,What is the water that falls from the sky called?,Science,precipitation,49,closed-ended,general,qualitative,The water that falls from the sky is called rain.,2025-05-25,49,False,True,somewhat inaccurate,0,0
92,What is the name given to anything that has mass and takes up space?,Science,matter,68,closed-ended,general,qualitative,The name given to anything that has mass and takes up space is matter.,2025-05-25,70,False,False,completely right,0,0
93,Carbon-14 dating is a method of what kind of dating?,Science,radiometric,52,closed-ended,general,qualitative,Carbon-14 dating is a method of radiometric dating used to determine the age of organic materials based on the decay rate of carbon-14 isotopes.,2025-05-25,144,False,False,completely right,0,0
94,Most reptiles lay what kind of eggs?,Science,amniotic,36,closed-ended,general,qualitative,"Most reptiles lay eggs with soft, leathery shells.",2025-05-25,50,False,False,somewhat inaccurate,0,0
95,What do you call accumulation of excess water in the tissues?,Science,edema,61,closed-ended,general,qualitative,Edema,2025-05-25,5,False,False,completely right,0,0
96,"A type of what organism causes ergot, a disease that impacts crops directly and has more devastating effects on animals?",Science,fungus,120,closed-ended,general,qualitative,"Fungi are the type of organism that causes ergot, a disease that impacts crops directly and has more devastating effects on animals.",2025-05-25,132,False,False,completely right,0,0
97,"What type of energy can be used to change the position or shape of an object, thus giving it potential energy?",Science,kinetic energy,110,closed-ended,general,qualitative,"Mechanical energy can be used to change the position or shape of an object, thus giving it potential energy.",2025-05-25,108,False,False,somewhat correct,0,0
98,Seawalls and breakwaters are built parallel to what?,Science,shore,52,closed-ended,general,qualitative,Seawalls and breakwaters are built parallel to the coastline.,2025-05-25,61,False,False,somewhat correct,0,0
99,What is the term for something in the environment that causes a reaction in an organism?,Science,stimulus,88,closed-ended,general,qualitative,The term for something in the environment that causes a reaction in an organism is called a stimulus.,2025-05-25,101,False,False,completely right,0,0
100,What is the process where light bounces back from surfaces that it cannot pass through?,Science,reflection,87,closed-ended,general,qualitative,The process where light bounces back from surfaces that it cannot pass through is called reflection.,2025-05-25,100,False,False,completely right,0,0
101,What property of ocean water increases rapidly as the water gets deeper?,Science,pressure,72,closed-ended,general,qualitative,The property of ocean water that increases rapidly as the water gets deeper is pressure.,2025-05-25,88,False,False,completely right,0,0
102,How do bipedal creatures walk?,Science,on two legs,30,open-ended,general,qualitative,"Bipedal creatures walk by alternating their legs in a coordinated manner to maintain balance and propel themselves forward. This involves a complex interplay of muscles, tendons, and nerves working together to create a smooth and efficient gait. The process of walking for bipedal creatures is a combination of shifting weight, swinging limbs, and maintaining stability through sensory feedback from the environment.",2025-05-25,416,False,False,somewhat correct,0,0
103,A life cycle continues through reproduction and what?,Science,development,53,closed-ended,general,qualitative,A life cycle continues through reproduction and growth.,2025-05-25,55,False,False,somewhat correct,0,0
104,The diagnosis of a disease or condition before the baby is born is called?,Science,prenatal diagnosis,74,closed-ended,general,qualitative,Prenatal diagnosis,2025-05-25,18,False,False,completely right,0,0
105,What term is used to describe the process of removing wastes and excess water from the body?,Science,excretion,92,closed-ended,general,qualitative,The term used to describe the process of removing wastes and excess water from the body is 'excretion.',2025-05-25,103,False,False,completely right,0,0
106,"In many polychaetes, the parapodia are richly supplied with blood vessels and also function as what?",Science,gills,100,closed-ended,general,qualitative,"In many polychaetes, the parapodia also function as gills for respiration.",2025-05-25,74,False,False,completely right,0,0
107,Bond lengths are intermediate between covalent single bonds and what?,Science,covalent double bonds,69,closed-ended,general,qualitative,Bond lengths are intermediate between covalent single bonds and double bonds.,2025-05-25,77,False,False,completely right,0,0
108,What do you call plastids that contain the green pigment chlorophyll?,Science,chloroplasts,69,closed-ended,general,qualitative,Chloroplasts,2025-05-25,12,False,False,completely right,0,0
109,The attraction of an atom for the electrons of a covalent bond is its what?,Science,electronegativity,75,closed-ended,general,qualitative,electronegativity,2025-05-25,17,False,False,completely right,0,0
110,"Since eddy currents and magnetic damping occur only in conductors, recycling centers can use these to separate metals from other materials?",Science,magnets,139,closed-ended,general,qualitative,"Yes, recycling centers can use eddy currents and magnetic damping to separate metals from other materials because these phenomena are based on the interaction of magnetic fields with conductive materials, allowing for efficient metal sorting.",2025-05-25,242,False,False,completely right,0,0
111,"What is the combination of tissues that provides a tough, woody external covering on the stems of trees called?",Science,bark,111,closed-ended,general,qualitative,"The combination of tissues that provides a tough, woody external covering on the stems of trees is called bark.",2025-05-25,111,False,False,completely right,0,0
112,The light-sensing cells in the retina are called rods and what else?,Science,cones,68,closed-ended,general,qualitative,cones,2025-05-25,5,False,False,completely right,0,0
113,What do you call a unique substance formed when two or more elements combine chemically?,Science,compound,88,closed-ended,general,qualitative,A unique substance formed when two or more elements combine chemically is called a compound.,2025-05-25,92,False,False,completely right,0,0
114,"What do you call structures like a whale's pelvic bones, which were once attached to legs, or wings that cannot be used for flight?",Science,vestigial,131,closed-ended,general,qualitative,Vestigial structures,2025-05-25,20,False,False,completely right,0,0
115,Protozoa can be classified on the basis of how they?,Science,move,52,closed-ended,general,qualitative,"Protozoa can be classified on the basis of how they move, such as through cilia, flagella, or pseudopods.",2025-05-25,105,False,False,completely right,0,0
116,What basic structures of the nervous system innervate the muscles of the respiratory system and are responsible for controlling and regulating pulmonary ventilation?,Science,neurons,165,closed-ended,general,qualitative,"The basic structures of the nervous system that innervate the muscles of the respiratory system and control pulmonary ventilation are the phrenic nerve, intercostal nerves, and the autonomic nervous system, specifically the sympathetic and parasympathetic branches.",2025-05-25,265,False,False,somewhat correct,0,0
117,What type of evolution often happens in species that have symbiotic relationships?,Science,coevolution,82,open-ended,general,qualitative,"In species that have symbiotic relationships, coevolution often occurs. This is a process where two or more species influence each other's evolution over time. They may develop specialized adaptations that benefit both parties, leading to a mutually beneficial relationship.",2025-05-25,274,False,False,completely right,0,0
118,What type of vascular plants produce seeds in cones?,Science,gymnosperms,52,closed-ended,general,qualitative,"Gymnosperms, specifically conifers, are vascular plants that produce seeds in cones.",2025-05-25,84,False,False,completely right,0,0
119,Atmospheric pressure can be measured with what tool?,Science,barometer,52,closed-ended,general,quantitative,An atmospheric pressure can be measured with a tool called a barometer.,2025-05-25,71,False,False,completely right,0,0
120,"Would you find cells that contain a cell wall, a large central vacuole, and plastids in plant or animal cells?",Science,plant cells,110,closed-ended,general,qualitative,"You would find cells that contain a cell wall, a large central vacuole, and plastids in plant cells.",2025-05-25,100,False,False,completely right,0,0
121,An atom that gains or loses electrons is called what?,Science,ion,53,closed-ended,general,qualitative,An atom that gains or loses electrons is called an ion.,2025-05-25,55,False,False,completely right,0,0
122,What measures the amount of water in the air?,Science,humidity,45,closed-ended,general,quantitative,The amount of water in the air is measured using a tool called a hygrometer.,2025-05-25,76,False,False,somewhat correct,0,0
123,"What kind of scientist is concerned with facets of geomorphology, topography, vegetation, and climate?",Science,soil scientist,102,closed-ended,general,qualitative,"A geographer is concerned with facets of geomorphology, topography, vegetation, and climate.",2025-05-25,92,False,True,somewhat inaccurate,0,0
124,Which material used in oxyacetylene torches helps cut and weld metals?,Science,acetylene,70,closed-ended,general,qualitative,"The material used in oxyacetylene torches to help cut and weld metals is a combination of oxygen and acetylene gases. When these gases are ignited and directed at the metal surface, they create a high-temperature flame that can melt and cut through the metal, allowing for welding or cutting processes.",2025-05-25,302,False,False,completely right,0,0
125,What forces in liquids are strong enough to keep them from expanding significantly when heated?,Science,intermolecular forces,95,closed-ended,general,qualitative,"The intermolecular forces in liquids, such as hydrogen bonding, van der Waals forces, and dipole-dipole interactions, are strong enough to keep them from expanding significantly when heated.",2025-05-25,190,False,False,completely right,0,0
126,What arteries carry oxygen-poor blood away from the heart to the lungs?,Science,pulmonary,71,closed-ended,general,qualitative,The pulmonary arteries carry oxygen-poor blood away from the heart to the lungs.,2025-05-25,80,False,False,completely right,0,0
127,Some biochemical processes happen via sequences of reactions which are called what?,Science,pathways,83,closed-ended,general,qualitative,Some biochemical processes happen via sequences of reactions which are called metabolic pathways.,2025-05-25,97,False,False,somewhat correct,0,0
