question_id,question_text,domain,ground_truth,question_length,question_type,question_nature,question_style,response_text,collection_date,response_length
11,What was the surname of the butler played by Gordon Jackson in Upstairs Downstairs?,General Knowledge,Hudson,83,closed-ended,general,qualitative,Hudson was the surname of the butler character (Mr. Angus Hudson) played by Gordon Jackson in Upstairs Downstairs.,2025-05-25,114
12,Which French phrase commonly used in English means literally 'already seen' ?,General Knowledge,DEJA VU,77,closed-ended,general,qualitative,"Déjà vu is the French phrase meaning ""already seen."" It describes the sensation of feeling like you've experienced a current situation before, even though you haven't. The term combines the French words ""déjà"" (already) and ""vu"" (seen), and has been adopted into English to describe this specific psychological phenomenon.",2025-05-25,322
13,Tuesday marks the birthday of lat night tv host David Letterman. What broadcast channel hosts his show?,General Knowledge,CBS,103,closed-ended,topical,qualitative,"David Letterman retired from late night television in 2015. He hosted ""Late Night with David Letterman"" on NBC from 1982-1993, then moved to CBS where he hosted ""Late Show with David Letterman"" from 1993-2015. Currently, he hosts occasional long-form interview specials called ""My Next Guest Needs No Introduction"" on Netflix.",2025-05-25,326
14,The feathers of which bird are said to bring bad luck if they are brought into the house?,General Knowledge,Peacock,89,closed-ended,general,qualitative,"Peacock feathers are traditionally believed to bring bad luck when brought into a house. This superstition originated in Mediterranean countries, particularly in the belief that the ""eyes"" on peacock feathers represent the evil eye. Some cultures also associate peacock feathers with the goddess Hera/Juno, who was known for being jealous and vengeful, leading to the belief that having these feathers indoors could invite misfortune or negative energy into the home.",2025-05-25,467
15,"St Thomas's Abbey, Brno in the Czech Republic was the scene of whose path-breaking work from 1856 to 1863?",General Knowledge,Gregor Mendel,106,closed-ended,general,qualitative,"Gregor Mendel conducted his groundbreaking experiments on pea plants at St Thomas's Abbey in Brno between 1856 and 1863. Through these experiments, he discovered the basic principles of heredity and established the foundations of modern genetics. As an Augustinian friar at the abbey, Mendel used the monastery's garden to grow and study around 29,000 pea plants, meticulously documenting patterns of inheritance that led to his laws of genetic inheritance, including the principles of dominance and segregation.",2025-05-25,512
16,What was introduced by the Volstead Act?,General Knowledge,PROHIBITION IN THE USA,40,closed-ended,general,qualitative,"The Volstead Act, officially known as the National Prohibition Act of 1919, introduced the legal framework for enforcing Prohibition in the United States. It provided specific guidelines for implementing the 18th Amendment, which banned the manufacture, sale, and transportation of alcoholic beverages. The Act defined intoxicating liquors as any beverage containing more than 0.5% alcohol, outlined enforcement procedures, and established exceptions for medicinal and religious uses of alcohol. It was named after Andrew Volstead, the Chairman of the House Judiciary Committee who sponsored the legislation.",2025-05-25,608
17,What word is used in betting slang for odds of five to one (5/1)?,General Knowledge,'HAND',65,closed-ended,general,qualitative,Nap is the betting slang term for odds of 5/1.,2025-05-25,46
18,"In adventure literature, what lie in an unexplored region of Africa beyond a mountain range called Sheba's breasts and a lush green valley called Kukuanaland?",General Knowledge,Mines of King Solomon,158,closed-ended,general,qualitative,"In H. Rider Haggard's 1885 novel ""King Solomon's Mines,"" the legendary diamond mines of King Solomon lie beyond Sheba's Breasts (two mountain peaks shaped like a woman's breasts) and through Kukuanaland. This was one of the first ""lost world"" adventure novels and helped establish many tropes of the genre. The mines are described as vast caverns containing immense treasures and are guarded by ancient traps and the warriors of Kukuanaland.",2025-05-25,441
19,"""Rodney you plonka"" and ""This time next year we'll be millionaires"" are catchphrases from which well-known television sitcom?",General Knowledge,Only Fools and Horses,125,closed-ended,general,qualitative,Only Fools and Horses - this British sitcom ran from 1981 to 2003 on BBC One. These catchphrases were regularly used by Del Boy (played by David Jason) addressing his brother Rodney (Nicholas Lyndhurst).,2025-05-25,203
20,"In medicine, if something is subcutaneous it is applied or located under which organ of the body?",General Knowledge,Skin,97,closed-ended,general,qualitative,"Subcutaneous means under the skin (cutaneous refers to the skin). When something is subcutaneous, it is located or administered in the layer of tissue directly beneath the skin, which contains fat cells, connective tissue, blood vessels, and nerve endings.",2025-05-25,256
21,"""Complete the proverb; """"Hope for the best....""""?""",General Knowledge,But prepare for the worst,50,closed-ended,general,qualitative,"Hope for the best, but prepare for the worst.",2025-05-25,45
22,"The Asian Tsunami or Boxing day tsunami that hit Thailand, Indonesia and many other countries happened in what year?",General Knowledge,2004,116,closed-ended,topical,qualitative,"The Asian Tsunami (Boxing Day tsunami) occurred on December 26, 2004. The massive earthquake and subsequent tsunami waves devastated coastal areas of Indonesia, Thailand, Sri Lanka, India, and several other Indian Ocean countries, killing approximately 230,000 people across 14 countries.",2025-05-25,288
23,The youngest ever member of the Order of Merit was admitted in 1968 and is still a member. Who is he?,General Knowledge,PRINCE PHILIP or DUKE OF EDINBURGH,101,closed-ended,general,qualitative,"David Attenborough was admitted to the Order of Merit in 1968 at age 42, making him the youngest ever member. He remains a member today and is now the longest-serving living member of the Order.",2025-05-25,194
24,"Which French aristocrat, revolutionary, politician, born in 1740, fled with his manservant to Italy after being sentenced to death for sodomy and poisoning?",General Knowledge,"Donatien Alphonse Franciose, Marquis de Sade",156,closed-ended,general,qualitative,"The Marquis de Sade (Donatien Alphonse François, Marquis de Sade) fled to Italy with his manservant La Jeunesse in 1772 after being sentenced to death in absentia by the parliament of Aix for sodomy and attempted poisoning. He had allegedly given aphrodisiac candies containing Spanish fly to prostitutes in Marseille and engaged in sexual acts that were considered crimes at the time. He remained in Italy until 1777, when he was arrested and imprisoned in the fortress of Vincennes.",2025-05-25,484
25,Where would a dewclaw usually be found?,General Knowledge,"High up on the foot of many mammals, birds and reptiles",39,closed-ended,general,qualitative,"A dewclaw is typically found on the inside of a dog's leg, slightly above the front paw (similar to a thumb position). Some dogs also have dewclaws on their hind legs. These claws don't usually touch the ground when the animal walks. While most common in dogs, dewclaws can also be found in cats and other mammals. In some breeds, dewclaws are removed shortly after birth, while in others they're kept intact as they can help with gripping and climbing.",2025-05-25,453
26,"In geometry, what name is given to a straight line from the circumference to the centre of a circle or sphere?",General Knowledge,RADIUS,110,closed-ended,general,qualitative,"A radius is a straight line segment that extends from the center of a circle or sphere to any point on its circumference or surface. The term radius also refers to the length of this line segment, which is equal to half the diameter of the circle or sphere.",2025-05-25,257
27,"In 1725 Catherine the First succeeded which Russian emperor, also her husband?",General Knowledge,Peter the First,78,closed-ended,general,qualitative,"Peter the Great (Peter I) died in 1725 and was succeeded by his second wife Catherine I, who became the first woman to rule Imperial Russia.",2025-05-25,140
28,Which working-class dish gets its name from the fact that sausages containing excess water explode when cooked in high-heat?,General Knowledge,Bangers and mash,124,closed-ended,general,qualitative,"Bangers and mash. The term ""bangers"" originated in Britain during World War I when meat shortages led to sausages being made with high water content and additional fillers. When cooked, these sausages would make popping or banging sounds as the water turned to steam and burst through the casing. The dish consists of sausages served with mashed potatoes and is a classic British comfort food that remains popular today.",2025-05-25,420
29,"The husband of Lara Lewington, In which field is Martin Lewis a TV expert?",General Knowledge,Finance,74,closed-ended,topical,qualitative,"Martin Lewis is a TV expert in personal finance and consumer affairs. He is well known in the UK for providing money-saving advice and financial guidance through various media outlets, including his ITV show ""The Martin Lewis Money Show"" and regular appearances on ""Good Morning Britain."" He founded the website MoneySavingExpert.com and has become one of Britain's most trusted voices on financial matters, particularly regarding consumer rights, utilities, banking, and savings.",2025-05-25,480
30,"Raclette, Tilsit and Sbrinz are all types of which foodstuff?",General Knowledge,Cheese,61,closed-ended,general,qualitative,"These are all types of cheese from Switzerland. Raclette is a semi-hard cheese traditionally melted and scraped onto food, Tilsit is a semi-hard smear-ripened cheese, and Sbrinz is a very hard cheese similar to Parmesan that's aged for at least 18 months.",2025-05-25,255
31,Who wrote the 1984 Booker Prize winning novel 'Hotel Du Lac'?,General Knowledge,Anita Brookner,61,closed-ended,general,qualitative,"Anita Brookner wrote Hotel Du Lac, which won the Booker Prize in 1984. It was her fourth novel and tells the story of romance novelist Edith Hope who retreats to a Swiss hotel after a scandal in London.",2025-05-25,202
32,Which TV series was won by a man named Paddy Doherty on September 8th this year?,General Knowledge,CELEBRITY BIG BROTHER,80,closed-ended,topical,qualitative,"Celebrity Big Brother 2011 (UK) was won by Paddy Doherty, but this occurred on September 8, 2011, not this year. Paddy Doherty is an Irish Traveller and television personality who became known through the Channel 4 documentary series My Big Fat Gypsy Wedding before winning Celebrity Big Brother.",2025-05-25,296
33,Precisely where were the Winter Olympics of 1932 and 1980 both held?,General Knowledge,Lake Placid,68,closed-ended,general,qualitative,"Lake Placid, New York, United States hosted both the 1932 and 1980 Winter Olympics. The village is located in the Adirondack Mountains in Essex County, New York.",2025-05-25,161
34,"In the TV sit-com 'Red Dwarf', what was the name of the ship's sentient computer?",General Knowledge,'HOLLY',81,closed-ended,general,qualitative,"Holly was the name of the ship's computer in Red Dwarf. Holly appeared as a disembodied head on screens throughout the mining ship Red Dwarf and was originally portrayed by Norman Lovett (male Holly) in series 1-2, then by Hattie Hayridge (female Holly) in series 3-5, before Norman Lovett returned to the role in series 7-8. Holly had an IQ of 6,000 but developed computer senility (""computer senile"") after being alone for 3 million years.",2025-05-25,441
35,What was the former name of Manchester airport ?,General Knowledge,RINGWAY,48,closed-ended,general,qualitative,"Ringway Airport was the former name of Manchester Airport. The airport opened in 1938 as Ringway Airport, named after the village of Ringway where it was built. It kept this name until 1975 when it was officially renamed Manchester International Airport, later shortened to Manchester Airport.",2025-05-25,293
36,"Which country shares a 530 km border with Saudi Arabia on the west, south, and southeast, a 450 km border with Oman on the southeast and northeast, and a smaller border with Qatar in the northwest?",General Knowledge,United Arab Emirates,197,closed-ended,general,qualitative,"The United Arab Emirates (UAE) shares these borders: 530 km with Saudi Arabia along its west, south, and southeast borders; 450 km with Oman on its southeast and northeast sides; and a smaller border with Qatar in the northwest.",2025-05-25,228
37,The peaceful overthrow of the government in Czechoslovakia in 1989 was known as what?,General Knowledge,The Velvet Revolution,85,closed-ended,topical,qualitative,"The Velvet Revolution, which took place from November 17 to December 29, 1989, was the peaceful transition of power in Czechoslovakia that ended Communist rule. The name comes from the nonviolent nature of the revolution, which featured massive protests and strikes but no bloodshed. Led by playwright Václav Havel and his Civic Forum movement, the revolution resulted in the resignation of the Communist leadership and Havel becoming the country's first democratically elected president.",2025-05-25,488
38,"October 27, 1858 saw the birth of what totally bad assed US president, the 26th, who spent time as a North Dakota rancher before becoming assistant Secretary of the Navy in 1899?",General Knowledge,Theodore Roosevelt,178,closed-ended,general,qualitative,"Theodore Roosevelt was born on October 27, 1858. He worked as a rancher in North Dakota's Badlands from 1884-1886 after personal tragedy (the deaths of his wife and mother on the same day), and later served as Assistant Secretary of the Navy under President William McKinley from 1897-1898. Roosevelt went on to become the 26th President of the United States (1901-1909), known for his vigorous personality, progressive reforms, conservation efforts, and his ""speak softly and carry a big stick"" foreign policy approach.",2025-05-25,520
39,"Theon Greyjoy, a character in the television series ‘Game of Thrones’, is played by the younger brother of which English singer?",General Knowledge,Lily Allen,128,closed-ended,general,qualitative,"Alfie Allen, who plays Theon Greyjoy, is the younger brother of singer Lily Allen. Lily Allen is known for hit songs like ""Smile"" and ""LDN"" and has had a successful career as a pop artist since the mid-2000s.",2025-05-25,208
40,What nationality was the astronomer Copernicus ?,General Knowledge,POLISH,48,closed-ended,general,qualitative,"Nicolaus Copernicus was Polish. He was born in 1473 in Toruń, which was then part of Royal Prussia under the Crown of the Kingdom of Poland. He studied in Poland at the University of Kraków and spent most of his life working in various Polish cities, particularly Frombork, where he developed his heliocentric theory of the solar system.",2025-05-25,337
41,Who won the 2007 Nobel Peace Prize for his environmental work including the controversial film An Inconvenient Truth?,General Knowledge,Al Gore,117,closed-ended,topical,qualitative,"Al Gore shared the 2007 Nobel Peace Prize with the Intergovernmental Panel on Climate Change (IPCC). The Nobel Committee recognized Gore's efforts to build up and disseminate greater knowledge about man-made climate change, and for laying the foundations for the measures needed to counteract such change. His documentary film ""An Inconvenient Truth"" (2006) was a key part of his climate change awareness campaign, though it later faced some criticism over certain claims and predictions made in the film.",2025-05-25,505
42,In which Canadian territory is the Klondike,General Knowledge,Yukon,43,closed-ended,general,qualitative,"The Klondike region is located in Yukon Territory in northwestern Canada, near the Alaska border. The area is centered around the Klondike River, a tributary of the Yukon River, and is famous for being the site of the Klondike Gold Rush of 1896-1899. The main town in the region is Dawson City, which served as the center of the gold rush activity.",2025-05-25,348
43,What was Truman Capote's last name before he was adopted by his stepfather?,General Knowledge,Persons,75,closed-ended,general,qualitative,"Persons. Truman Capote was born Truman Streckfus Persons on September 30, 1924. He later took his stepfather Joe Capote's surname when his mother married him in 1933.",2025-05-25,166
44,In Old Possums book of practical cats what is the name of the cat who is the terror of the Thames?,General Knowledge,GROWLTIGER,98,closed-ended,general,qualitative,"Growltiger is the terror of the Thames in T.S. Eliot's ""Old Possum's Book of Practical Cats."" He is a fierce pirate cat with one eye who terrorizes the waters on his barge, particularly targeting foreign cats. His story is told in the poem ""Growltiger's Last Stand,"" where he ultimately meets his demise at the hands of Siamese cats who seek revenge.",2025-05-25,350
45,"The title of what well-known piano waltz comes from the composer's specification that it must be played with both hands held sideways, little fingers down, striking the keys with a particular type motion?",General Knowledge,"""""""Chopsticks""""""",204,closed-ended,general,qualitative,"Chopin's ""Minute Waltz"" (Waltz in D-flat major, Op. 64, No. 1) is not actually named for its duration, but rather for the ""minute"" (my-NOOT) motion required to play it - referring to the small, precise movements of the hands. The title ""Minute"" comes from the French ""menuet"" meaning small or delicate, describing the quick, light touch needed for the piece. The pianist's hands must maintain a specific sideways position throughout much of the work to execute the rapid runs of notes effectively.",2025-05-25,497
46,The Italian soccer club Sampdoria plays home games in which city?,General Knowledge,GENOA,65,closed-ended,general,qualitative,"Sampdoria plays its home games in Genoa, Italy, at the Stadio Luigi Ferraris, which they share with local rivals Genoa CFC.",2025-05-25,123
47,"Apart from an Atlantic coastline, what country is surrounded by Senegal?",General Knowledge,THE GAMBIA,72,closed-ended,general,qualitative,"The Gambia is surrounded by Senegal on three sides (north, south, and east), with only its western edge opening to the Atlantic Ocean. The Gambia is a narrow country that follows the Gambia River inland, extending approximately 400 kilometers into Senegal's territory.",2025-05-25,268
48,The architectural term architrave refers to a?,General Knowledge,Lintel/beam,46,closed-ended,general,qualitative,"An architrave is the lowest part of an entablature that sits directly on top of columns in classical architecture. It is essentially the main beam that spans between columns and supports the structure above. In modern usage, architrave also refers to the molded frame around a doorway or window, particularly the lintel or beam that spans the top of the opening.",2025-05-25,362
49,Which 2007 Italian drama film directed by Daniele Luchetti is based on Antonio Pennacchi's novel?,General Knowledge,My Brother Is An Only Child,97,closed-ended,general,qualitative,"""Mio fratello è figlio unico"" (My Brother Is an Only Child) is the 2007 Italian drama film directed by Daniele Luchetti based on Antonio Pennacchi's novel ""Il fasciocomunista.""",2025-05-25,176
50,What is the first name of James bond villain Dr No?,General Knowledge,Julius,51,closed-ended,general,qualitative,Julius,2025-05-25,6
51,Eosophobia is the irrational fear of which part of the day?,General Knowledge,Dawn,59,closed-ended,general,qualitative,"Eosophobia is the irrational fear of dawn or daybreak. It comes from the Greek word ""Eos"" (meaning dawn) and ""phobos"" (meaning fear). People with this phobia experience intense anxiety or panic when faced with sunrise or the early morning period when night transitions to day.",2025-05-25,276
52,What is the name given to a short handled riding stick,General Knowledge,Quirt,54,closed-ended,general,qualitative,A crop or riding crop is a short-handled riding stick used in horseback riding. It typically consists of a stiff shaft about 2-2.5 feet long with a leather loop or popper at the end. The crop is used to reinforce leg aids and provide additional signals to the horse during riding.,2025-05-25,280
53,In 2015 artist Oscar Santillan controversially removed and exhibited the top inch of?,General Knowledge,Scafell Pike,85,closed-ended,topical,qualitative,"Ben Nevis, the highest mountain in the United Kingdom. Santillan removed a small rock from the summit and displayed it as part of an art exhibition called ""The Horizontal"" at Copperfield Gallery in London. This action caused significant controversy and outrage in Scotland, with many viewing it as vandalism of a natural landmark. The John Muir Trust, which maintains the mountain, called for the rock's return to its original location.",2025-05-25,436
54,From what illness did Mary II die in 1694?,General Knowledge,Smallpox,42,closed-ended,general,qualitative,"Mary II died from smallpox on December 28, 1694, at Kensington Palace. She contracted the disease during a severe outbreak in England and developed symptoms around December 20. Despite the efforts of her physicians, her condition deteriorated rapidly, and she died at age 32, leaving her husband William III to rule alone.",2025-05-25,322
55,What was the (2011 reported) average annual salary of a UK ('county') Council Chief Executive?,General Knowledge,£186k,94,closed-ended,topical,quantitative,"The average annual salary for UK county council chief executives in 2011 was approximately £147,000, though salaries varied significantly between different councils and regions. Some chief executives earned over £200,000 while others earned closer to £100,000, depending on the size and budget of the council they managed.",2025-05-25,322
56,"What is the only county in the USA to border 5 counties from 5 different states : Baca County, Colorado; Morton County, Kansas; Texas County, Oklahoma; Dallam County, Texas; Union County, New Mexico ?",General Knowledge,Cimarron County,200,closed-ended,general,qualitative,"Cimarron County, Oklahoma is the only county in the United States that borders five counties in five different states. Located in the westernmost part of Oklahoma's panhandle, it shares borders with Baca County (Colorado), Morton County (Kansas), Texas County (Oklahoma), Dallam County (Texas), and Union County (New Mexico).",2025-05-25,325
57,"""In 1858 Rowland Macy established a new store named """"R. H. Macy & Company"""", where it stayed on the same site for nearly forty years, in which city?""",General Knowledge,New York,150,closed-ended,general,qualitative,"New York City. Specifically, R.H. Macy & Company was established at 204-206 Sixth Avenue between 13th and 14th Streets in Manhattan.",2025-05-25,132
58,What type of exhibit can be seen in the military museum at Bovington in Dorset?,General Knowledge,Tanks,79,closed-ended,general,qualitative,"The Tank Museum at Bovington houses one of the world's largest collections of tanks, armored vehicles, and military vehicles. The museum features nearly 300 vehicles from 26 countries, spanning from World War I to the present day. Notable exhibits include the only working Tiger I tank in the world, the first tank ever built (Little Willie), and numerous rare and historically significant armored vehicles. The museum also includes interactive displays, exhibitions about tank warfare history, and demonstrations of running vehicles on their track.",2025-05-25,549
59,Which is the largest city in the USA?,General Knowledge,New York,37,closed-ended,general,qualitative,"New York City is the largest city in the USA, with a population of approximately 8.8 million people (2020 census). It consists of five boroughs: Manhattan, Brooklyn, Queens, The Bronx, and Staten Island, covering a total area of 302.6 square miles.",2025-05-25,248
60,"Elected in 2008, who is the current Prime Minister of New Zealand?",General Knowledge,JOHN KEY,66,closed-ended,topical,qualitative,"Christopher Luxon is the current Prime Minister of New Zealand. He took office on November 27, 2023, following the 2023 New Zealand general election. He leads the National Party and heads a coalition government with ACT New Zealand and New Zealand First. The premise in the question about 2008 is incorrect, as that was when John Key became Prime Minister.",2025-05-25,356
61,"At the 1976 Olympics, which Cuban athlete became the first person to win both the 400m and the 800m?",General Knowledge,ALBERTO JUANTORENA,100,closed-ended,general,qualitative,"Alberto Juantorena won both the 400m and 800m at the 1976 Montreal Olympics, becoming the first and only athlete to achieve this double victory in Olympic history. Known as ""El Caballo"" (The Horse), he set an Olympic record in the 800m with a time of 1:43.50 and won the 400m in 44.26 seconds.",2025-05-25,293
62,Who won the 1977 European Cup and where was it held?,General Knowledge,Liverpool in Rome,52,closed-ended,general,qualitative,"Liverpool won the 1977 European Cup, defeating Borussia Mönchengladbach 3-1 in the final at the Stadio Olimpico in Rome, Italy. This was Liverpool's first European Cup victory, with goals from Terry McDermott, Tommy Smith, and Phil Neal.",2025-05-25,237
63,What Roman wall lies near the boundary of Scotland and England?,General Knowledge,Hadrian's Wall,63,closed-ended,general,qualitative,"Hadrian's Wall, built around 122 AD under Emperor Hadrian's orders, stretches 73 miles across northern Britain from Wallsend on the River Tyne in the east to Bowness-on-Solway in the west. This massive defensive fortification marked the northernmost boundary of Roman Britain and served to control movement between Roman territory and the unconquered lands of the north.",2025-05-25,370
64,In which film series would you expect to film Katniss Everdeen and Peeta Malark?,General Knowledge,The Hunger Games,80,closed-ended,general,qualitative,"The Hunger Games film series, based on Suzanne Collins' novels. Katniss Everdeen (played by Jennifer Lawrence) and Peeta Mellark (played by Josh Hutcherson) are the main characters in this dystopian series consisting of four films: The Hunger Games (2012), Catching Fire (2013), Mockingjay - Part 1 (2014), and Mockingjay - Part 2 (2015).",2025-05-25,338
65,"In Ian Fleming’s novel ‘Moonraker’, Sir Hugo Drax is suspected of cheating at which game in the Mayfair club ‘Blades’?",General Knowledge,Bridge,118,closed-ended,general,qualitative,"Bridge. In the novel, Drax is suspected of cheating at bridge at Blades, an exclusive gentleman's club. M asks James Bond to investigate since Bond is known to be an expert card player. Bond catches Drax using a shiner (a small curved mirror) to read the cards as he deals them.",2025-05-25,278
66,The songs 'If I Loved You' and 'When The Children Are Asleep' are from which 1956 stage musical?,General Knowledge,'CAROUSEL',96,closed-ended,general,qualitative,"""If I Loved You"" and ""When The Children Are Asleep"" are from the Rodgers and Hammerstein musical ""Carousel,"" which premiered on Broadway in 1945, not 1956. ""If I Loved You"" is performed by the main characters Billy Bigelow and Julie Jordan, while ""When The Children Are Asleep"" is sung by supporting characters Carrie Pipperidge and Enoch Snow.",2025-05-25,344
67,A gymnophobia sufferer fears what?,General Knowledge,Nudity,34,closed-ended,general,qualitative,"Gymnophobia is the fear of nudity or naked bodies. This phobia can include fear of being naked oneself and/or seeing others naked. The term comes from the Greek words ""gymnos"" (meaning naked) and ""phobos"" (meaning fear).",2025-05-25,220
68,"Who, in May 2006 when aged 17 years and 75 days, became the youngest footballer to play for England?",General Knowledge,Theo Walcott,100,closed-ended,general,qualitative,"Theo Walcott became England's youngest ever international footballer when he made his debut against Hungary on May 30, 2006, aged 17 years and 75 days. He was selected for England's 2006 World Cup squad before he had even played a Premier League game for Arsenal.",2025-05-25,263
69,What is the more common term for the affliction called epistaxis the occurrence of which suggests sexual arousal in Japanese manga and anime?,General Knowledge,Nosebleed,141,closed-ended,general,qualitative,"A nosebleed (commonly depicted as a sudden gush of blood from the nose) is used as a visual trope in manga and anime to represent sexual arousal or excitement. This comedic device originated in Japanese media and has become a widely recognized symbol, particularly when characters encounter attractive people or suggestive situations.",2025-05-25,334
70,In which film does crooked computer programmer Dennis Nedry cause havoc?,General Knowledge,Jurassic Park,72,closed-ended,general,qualitative,"Jurassic Park (1993). Dennis Nedry is the computer programmer who shuts down the park's security systems so he can steal dinosaur embryos for a rival company, leading to dinosaurs escaping their enclosures and causing chaos throughout the park.",2025-05-25,244
71,Near which village in North Wales were the rowing events held at the 1958 British Empire and Commonwealth Games?,General Knowledge,LLANBERIS,112,closed-ended,general,qualitative,The rowing events of the 1958 British Empire and Commonwealth Games were held at Llyn Padarn near the village of Llanberis in North Wales.,2025-05-25,138
72,"""Which Prime Minister said """"the War Office kept three sets of figures, one to mislead the public, one to mislead the Cabinet and one to mislead itself""""?""",General Knowledge,Herbert Asquith,155,closed-ended,general,qualitative,"Winston Churchill made this remark about the War Office's statistical practices during World War I. He was specifically referring to the British War Office's tendency to maintain different sets of figures for different audiences, highlighting the complex and sometimes deceptive nature of military record-keeping during wartime.",2025-05-25,328
73,"""On 2 November 2010, the oil painting """"Nude Sitting on a Divan"""" sold for $68.9 million, a record for an artwork by which artist?""",General Knowledge,Amadeo Modigliani,131,closed-ended,topical,quantitative,"Amedeo Modigliani. The painting ""Nu assis sur un divan (La Belle Romaine)"" was sold at Sotheby's New York for $68.9 million, setting a record price for the Italian artist's work at the time. Modigliani created this painting in 1917 as part of his famous series of nudes, which are considered among his most important works.",2025-05-25,323
74,"""How many people made up the English pop rock group """"Tears For Fears""""?""",General Knowledge,2,73,closed-ended,general,quantitative,"Tears For Fears primarily consisted of two members: Roland Orzabal and Curt Smith. While other musicians joined them for recordings and tours, these two were the core members and founders of the band when it formed in Bath, England in 1981.",2025-05-25,240
